Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Comments
1,Document,,,,,,,,,,industry-analyser-db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Entity,Entity Relationship,2,,,,,,,,VACANCY,id PK,uuid,company_id FK,int,job_portal_id,int,title,string,salary_from,float,salary_to,float,url,string,first_seen,datetime,last_seen,datetime,days_open,int,vacancy_portal_id,int,application_deadline,datetime,state,string,,,,,"[{""Resolved"":true,""Comments"":[{""Timestamp"":""2024-04-30T13:55:04.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Add vacancy closest date""}]},{""Resolved"":true,""Comments"":[{""Timestamp"":""2024-05-06T05:09:23.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Filled in `fetcher/views.py`""}]},{""Resolved"":true,""Comments"":[{""Timestamp"":""2024-06-25T16:01:33.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Add duplicated_by id. Also portals can be companies so a lot of duplication os possible""}]}]"
4,Entity,Entity Relationship,2,,,,,,,,VACANCY_FOUND_BY_KEYWORDS,id PK,int,vacancy_id FK,int,keywords_id FK,int,,,,,,,,,,,,,,,,,,,,,,,,,
5,Entity,Entity Relationship,2,,,,,,,,VACANCY_CONTAINS_KEYWORDS,id PK,int,vacancy_id FK,int,keyword_id FK,int,,,,,,,,,,,,,,,,,,,,,,,,,
6,Entity,Entity Relationship,2,,,,,,,,VACANCY_POSITION,id PK,int,vacancy_id FK,int,position_id FK,id,categorized_by,string,assignment_date,datetime,prompt_id FK,int,,,,,,,,,,,,,,,,,,,"[{""Resolved"":false,""Comments"":[{""Timestamp"":""2024-05-06T05:10:19.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Filled by AI model""},{""Timestamp"":""2024-05-06T05:16:23.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Though user can apply its own categorization thus the `categorized_by` would be updated from AI models name \""Ollama3 7B\"" to \""user_id\"". Most probably \""Ollama3 7B\"" should also deserve an \""user_id\""""}]}]"
7,Entity,Entity Relationship,2,,,,,,,,COMPANY,id PK,uuid,name,string,vat_no,string,company_portal_id,string,created,datetime,last_updated,datetime,website,string,,,,,,,,,,,,,,,,,"[{""Resolved"":false,""Comments"":[{""Timestamp"":""2024-05-06T05:09:35.000Z"",""Creator"":""Tedis Rozenfelds"",""Content"":""Filled in `fetcher/views.py`""}]}]"
8,Entity,Entity Relationship,2,,,,,,,,KEYWORDS,id PK,int,name,string,enabled,boolean,created_at,datetime,,,,,,,,,,,,,,,,,,,,,,,
9,Entity,Entity Relationship,2,,,,,,,,KEYWORDS_HISTORY,id PK,int,keywords_id,int,updated_at,datetime,enabled_set_to,string,,,,,,,,,,,,,,,,,,,,,,,
10,Entity,Entity Relationship,2,,,,,,,,POSITION,id PK,int,name,string,definition,string,created_at,datetime,,,,,,,,,,,,,,,,,,,,,,,
